brand,tier,avg_price_min,avg_price_max,market,perception
Adidas,Tier 4,3500,9000,Premium sport,Lifestyle sport
American Eagle,Tier 3,3000,5000,Youth premium,Denim
Anamika Khanna,Tier 5,45000,,Elite,High/luxury fashion
AND,Tier 3,750,7500,Urban women,Premium workwear
Anita Dongre,Tier 5,10000,,Elite,Luxury ethnic
Anouk,Tier 3,500,7000,Youth mass,Trendy ethnic
Armani,Tier 5,7000,,Elite,Luxury
Asics,Tier 4,6000,12000,Performance,Technical
Aurelia,Tier 2,850,2000,Mass,Everyday ethnic
Balenciaga,Tier 5,70000,,Elite,Avant-garde
Being Human,Tier 3,2000,5000,Aspirational,Celebrity-led
Bewakoof,Tier 2,800,1800,Budget youth,Quirky
Biba,Tier 3,1500,3500,Mass-Aspirational,Trusted ethnic
Brand Factory,Tier 2,1500,3000,Value hunters,Discounted brands
Burberry,Tier 5,40000,,Elite,Heritage luxury
Calvin Klein,Tier 5,5000,30000,Premium,Minimal luxury
Diesel,Tier 5,10000,25000,Premium niche,Bold
Dolce & Gabbana,Tier 5,20000,,Elite,Italian luxury
Easybuy,Tier 1,500,1200,Budget,Value
Fabindia,Tier 3,1000,9000,Urban conscious,"Natural, classy"
FBB,Tier 2,700,1500,Budget-Mass,Affordable
Flying Machine,Tier 3,2000,4000,Youth,Denim focused
Forever 21,Tier 3,1500,3500,Youth,Fast fashion
GAP,Tier 4,3000,6000,Urban premium,Casual classic
Global Desi,Tier 3,2000,4500,Youth aspirational,Boho chic
Gucci,Tier 5,50000,,Elite,Luxury
Guess,Tier 4,6500,20000,Premium,Glam
H&M,Tier 3,1500,3000,Youth mass,Trendy
Highlander,Tier 2,900,2000,Budget youth,Trendy cheap
House of Masaba,Tier 5,5000,60000,Aspirational,Fashion-forward
HRX,Tier 2,650,3000,Fitness youth,Active lifestyle
Indya,Tier 4,1500,15000,Aspirational,Fusion wear
Jaypore,Tier 4,1000,12000,Premium,Artisanal
Killer,Tier 3,2000,4500,Mass men,Rugged
Label Ritu Kumar,Tier 5,8000,50000,Premium ethnic,Designer
Levi's,Tier 3,1700,7000,Upper mass,Denim icon
Libas,Tier 2,900,2000,Budget-Mass,Value ethnic
Louis Vuitton,Tier 5,80000,,Elite,Status
Mango,Tier 4,4000,8000,Premium women,Elegant
Manish Malhotra,Tier 5,30000,150000,Elite,Luxury designer
Manyavar,Tier 4,8000,25000,Premium ethnic,Wedding wear
Marks & Spencer,Tier 4,3000,6000,Mature premium,Reliable
Masaba,Tier 4,5000,20000,Aspirational,Bold designer
Max Fashion,Tier 2,700,1500,Mass,Affordable
Meena Bazaar,Tier 4,6000,25000,Wedding,Ornate
Moda Rapido,Tier 2,1000,2500,Mass youth,Fast fashion
Mufti,Tier 3,2500,5000,Urban men,Smart casual
Nalli,Tier 4,4000,20000,Traditional premium,Heritage
Neeru's,Tier 4,5000,18000,Wedding buyers,Premium ethnic
New Balance,Tier 4,5000,10000,Niche premium,Serious runners
Nicobar,Tier 4,3500,8000,Premium urban,Minimal chic
Nike,Tier 4,4000,10000,Premium sport,Performance
Pantaloons,Tier 2,500,3000,Mass-Upper mass,Reliable
Prada,Tier 5,35000,,Elite,High fashion
Puma,Tier 3,3000,7000,Youth sport,Trendy
Rangriti,Tier 1,800,1800,Budget,Functional
Raw Mango,Tier 5,15000,90000,Elite,Luxury ethnic
Red Tape,Tier 3,1500,5000,Mass,Value premium
Reebok,Tier 3,2500,6000,Mass sport,Functional
Reliance Trends,Tier 2,800,2000,Mass,Everyday
Roadster,Tier 2,500,2500,Youth mass,Casual cool
Rohit Bal,Tier 5,30000,,Elite,Couture
Sabyasachi,Tier 5,60000,,Elite,Status luxury
Skechers,Tier 3,4000,8000,Comfort seekers,Lifestyle
Soch,Tier 2,1200,3000,Mass ethnic,Affordable
Spykar,Tier 3,2000,4000,Youth,Denim
Style Bazaar,Tier 1,500,1200,Budget,Functional
Superdry,Tier 4,6000,15000,Youth premium,Street luxe
Suta,Tier 4,2500,6000,Niche urban,Handcrafted
Tarun Tahiliani,Tier 5,40000,,Elite,Couture
Tommy Hilfiger,Tier 4,5000,10000,Premium,Classic
UCB,Tier 3,3000,6000,Mass premium,Casual
Under Armour,Tier 4,5000,10000,Premium,Athletic
Uniqlo,Tier 3,2000,4000,Urban mass,Quality basics
Versace,Tier 5,35000,,Elite,Statement luxury
Vishal Mega Mart,Tier 1,400,1000,Budget,Utility
W for Woman,Tier 3,1800,3500,Working women,Modern ethnic
Zara,Tier 4,3000,6000,Aspirational,Stylish
Zudio,Tier 1,400,1200,Budget,Ultra-affordable
